timestamp,source,platform,url,text,type
2025-01-17T14:10:56.953Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lfwxxfn6xk27,"This is right, but tricky thing is that Congress hasn't left itself time. If no unanimous consent, could take Congress days to extend/change. That's Congress's own fault. But fascinating whether it weighs on SCOTUS, which has power to adopt a brief admin stay (even if legally questionable).",user_post
2025-01-03T21:27:03.360Z,Bluesky,jrosenworcel.bsky.social,at://did:plc:3gktjjvxpiwj35pkvl3qj47m/app.bsky.feed.post/3leujsbaiac2f,"Thoughts on network security, national security, AI, and my time at the FCC.

cyberscoop.com/fcc-jessica-...",user_post
2025-01-03T19:11:05.545Z,Bluesky,bradheath.bsky.social,at://did:plc:rjczpaotvf22sva3wheiwmgk/app.bsky.feed.post/3leuc76sdac2p,"Guys, C-SPAN is momentarily in a state of lawless anarchy.",user_post
2025-01-03T17:35:21.755Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3leu4tyooek2k,"One week from a SCOTUS showdown, I discussed the path ahead for TikTok on Bloomberg Radio this morning. More details in the thread linked below.",user_post
2025-01-03T16:30:18.149Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3letz7oor6c22,"My guess: trying to insulate this decision from further review. Let's keep it simple as matter of administrative law, not tee up any questions about the future of MQD after Loper Bright.",user_post
2025-01-03T15:31:36.861Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3letvwqrxw22r,"Acknowledging ambiguity, though, would've probably forced the court to confront the major-questions doctrine.",user_post
2025-01-03T15:31:29.649Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3letvwjvr222r,"This seems like a valid critique. 

If the last 20+ years of #netneutrality litigation shows anything, it's that there probably isn't one ""plain meaning"" on the classification question. That's why Chevron mattered: it let the FCC switch between alternative readings that could be called reasonable.",user_post
2025-01-02T17:38:41.846Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lerml2zsi22q,"Carr has said he's more focused on (c)(2) than (c)(1), and he's actually spoken positively about (c)(1). Since (c)(2) rarely plays a role in actual legal cases, I think that's a pretty strong tell that this is about politics and headlines more than changing results in actual suits.",user_post
2025-01-02T16:52:54.252Z,Bluesky,mattschett.bsky.social,at://did:plc:tcyz3hh3u5fyghqtkknkmemr/app.bsky.feed.post/3lerjz6ly7k2i,"Only if the FCC insists it's interpretation of Section 230 is binding on the courts. More likely, the FCC puts out an order effectively (or at least alternatively) telling the courts what it thinks is a pretty good way to read the shield. No Loper Bright crisis there.",user_post
2025-01-02T13:35:04.158Z,Bluesky,christopherterry.bsky.social,at://did:plc:4x7jhavbazif7q3gr4jch2bt/app.bsky.feed.post/3ler6xgryvs2x,"The holidays are behind us. Let's take a moment to consider the next few of weeks in media law.

Jan 10-TikTok Ban oral arguments
Jan 15-FSC v Paxton (Texas Age Verification)
Jan 20-Trump inauguration
Jan 21-Brendan Carr becomes chair of the FCC
Jan 22 I teach internet and advertising law in spring",user_post
